ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Dew Point,Dew Point_lower,Dew Point_upper,Humidity,Humidity_lower,Humidity_upper,Precip,Precip_lower,Precip_upper,Pressure,Pressure_lower,Pressure_upper,Temperature,Temperature_lower,Temperature_upper,Wind Gust,Wind Gust_lower,Wind Gust_upper,Wind Speed,Wind Speed_lower,Wind Speed_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-12-22,1251.2000166207497,49.97501497554726,1566.646145911692,1251.2000166207497,1251.2000166207497,39.13589327032553,39.13589327032553,39.13589327032553,-20.823942162148576,-20.823942162148576,-20.823942162148576,1.6384649898539632,1.6384649898539632,1.6384649898539632,13.7338935242987,13.7338935242987,13.7338935242987,-184.40597705428544,-184.40597705428544,-184.40597705428544,-13.040690537385233,-13.040690537385233,-13.040690537385233,24.34500313416375,24.34500313416375,24.34500313416375,-458.29827772456014,-458.29827772456014,-458.29827772456014,3.7204017644398846e-10,3.7204017644398846e-10,3.7204017644398846e-10,-139.41735483517726,-139.41735483517726,-139.41735483517726,-11.074728886868433,-11.074728886868433,-11.074728886868433,-307.80619400288634,-307.80619400288634,-307.80619400288634,0.0,0.0,0.0,792.9017388961897
2022-12-23,1251.1445992272895,77.42311482240099,1586.737728837139,1251.1445992272895,1251.1445992272895,34.12587171061687,34.12587171061687,34.12587171061687,-18.07092860791831,-18.07092860791831,-18.07092860791831,1.6384649898539632,1.6384649898539632,1.6384649898539632,16.664309308955183,16.664309308955183,16.664309308955183,-168.1128263941492,-168.1128263941492,-168.1128263941492,-13.040690537385233,-13.040690537385233,-13.040690537385233,30.27781160364711,30.27781160364711,30.27781160364711,-419.5178390549534,-419.5178390549534,-419.5178390549534,-3.907596616651669e-09,-3.907596616651669e-09,-3.907596616651669e-09,-116.5179879263796,-116.5179879263796,-116.5179879263796,2.6129139925711264,2.6129139925711264,2.6129139925711264,-305.6127651172374,-305.6127651172374,-305.6127651172374,0.0,0.0,0.0,831.6267601723362
2022-12-24,1251.0891818338293,104.7407749215392,1615.2244894583066,1251.0891818338293,1251.0891818338293,36.27302380763487,36.27302380763487,36.27302380763487,-14.657191800672784,-14.657191800672784,-14.657191800672784,1.6384649898539632,1.6384649898539632,1.6384649898539632,24.949065045823478,24.949065045823478,24.949065045823478,-154.87464148278852,-154.87464148278852,-154.87464148278852,-13.040690537385233,-13.040690537385233,-13.040690537385233,26.81700666311515,26.81700666311515,26.81700666311515,-390.2870877857459,-390.2870877857459,-390.2870877857459,2.404959786872496e-09,2.404959786872496e-09,2.404959786872496e-09,-92.89496331441906,-92.89496331441906,-92.89496331441906,6.344581231662673,6.344581231662673,6.344581231662673,-303.73670570539434,-303.73670570539434,-303.73670570539434,0.0,0.0,0.0,860.8020940480833
2022-12-25,1251.0337644403692,144.68930249988884,1671.8731492796578,1251.0337644403692,1251.0337644403692,34.84158907628954,34.84158907628954,34.84158907628954,-8.105019541604753,-8.105019541604753,-8.105019541604753,1.6384649898539632,1.6384649898539632,1.6384649898539632,22.742208714168672,22.742208714168672,22.742208714168672,-128.05883102131432,-128.05883102131432,-128.05883102131432,-13.040690537385233,-13.040690537385233,-13.040690537385233,41.64902783682354,41.64902783682354,41.64902783682354,-341.532482119452,-341.532482119452,-341.532482119452,2.391118414379889e-09,2.391118414379889e-09,2.391118414379889e-09,-48.3332504831686,-48.3332504831686,-48.3332504831686,8.965538247416974,8.965538247416974,8.965538247416974,-302.1647698860916,-302.1647698860916,-302.1647698860916,0.0,0.0,0.0,909.5012823209171
2022-12-26,1250.9783470469088,93.62080136065492,1628.6709232159635,1250.9783470469088,1250.9783470469088,22.435821404629987,22.435821404629987,22.435821404629987,-13.99646854765752,-13.99646854765752,-13.99646854765752,1.6384649898539632,1.6384649898539632,1.6384649898539632,17.026089035456028,17.026089035456028,17.026089035456028,-133.48988124135974,-133.48988124135974,-133.48988124135974,-13.040690537385233,-13.040690537385233,-13.040690537385233,40.66022642524299,40.66022642524299,40.66022642524299,-390.4381428502217,-390.4381428502217,-390.4381428502217,-4.149275885841537e-09,-4.149275885841537e-09,-4.149275885841537e-09,-78.76643847121952,-78.76643847121952,-78.76643847121952,-10.799212776519068,-10.799212776519068,-10.799212776519068,-300.87249159833385,-300.87249159833385,-300.87249159833385,0.0,0.0,0.0,860.5402041966871
2022-12-27,1250.9229296534484,93.00169079629529,1619.807678684011,1250.9229296534484,1250.9229296534484,14.324357927006433,14.324357927006433,14.324357927006433,-14.987553427180416,-14.987553427180416,-14.987553427180416,1.6384649898539632,1.6384649898539632,1.6384649898539632,5.5938496780307085,5.5938496780307085,5.5938496780307085,-124.32498399503312,-124.32498399503312,-124.32498399503312,-13.040690537385233,-13.040690537385233,-13.040690537385233,32.749815132598506,32.749815132598506,32.749815132598506,-397.92016894480776,-397.92016894480776,-397.92016894480776,4.8970605348586105e-11,4.8970605348586105e-11,4.8970605348586105e-11,-98.04674023210914,-98.04674023210914,-98.04674023210914,-0.048202986186817766,-0.048202986186817766,-0.048202986186817766,-299.8252257265608,-299.8252257265608,-299.8252257265608,0.0,0.0,0.0,853.0027607086405
2022-12-28,1250.867512259988,-125.97607663676422,1373.2868178272013,1250.8675121456838,1250.867512259988,-45.55732833427333,-45.55732833427333,-45.55732833427333,-57.82444433100333,-57.82444433100333,-57.82444433100333,-48.96146526987675,-48.96146526987675,-48.96146526987675,-3.9933130742405214,-3.9933130742405214,-3.9933130742405214,-165.39730128412648,-165.39730128412648,-165.39730128412648,-13.040690537385233,-13.040690537385233,-13.040690537385233,-2.8470356843016376,-2.8470356843016376,-2.8470356843016376,-632.6019083985436,-632.6019083985436,-632.6019083985436,2.2876065486343578e-09,2.2876065486343578e-09,2.2876065486343578e-09,-337.6215785152073,-337.6215785152073,-337.6215785152073,3.9991111779210757,3.9991111779210757,3.9991111779210757,-298.97944106354515,-298.97944106354515,-298.97944106354515,0.0,0.0,0.0,618.2656038614443
2022-12-29,1250.8120948665278,-67.48743171659815,1459.1771804744224,1250.8101955766522,1250.8120948665278,-38.877299587995104,-38.877299587995104,-38.877299587995104,-53.69492399965794,-53.69492399965794,-53.69492399965794,1.6384649898539632,1.6384649898539632,1.6384649898539632,3.567883209626228,3.567883209626228,3.567883209626228,-167.77338575539636,-167.77338575539636,-167.77338575539636,-13.040690537385233,-13.040690537385233,-13.040690537385233,19.895396782051233,19.895396782051233,19.895396782051233,-557.6435119111079,-557.6435119111079,-557.6435119111079,-6.735850395974315e-10,-6.735850395974315e-10,-6.735850395974315e-10,-248.28455489890317,-248.28455489890317,-248.28455489890317,-11.074728886861523,-11.074728886861523,-11.074728886861523,-298.28422812466965,-298.28422812466965,-298.28422812466965,0.0,0.0,0.0,693.1685829554199
2022-12-30,1250.7566774730674,-55.30855430309223,1460.1238977742653,1250.7509877513694,1250.7566774730674,-62.73454511041732,-62.73454511041732,-62.73454511041732,-64.10131523464834,-64.10131523464834,-64.10131523464834,1.6384649898539632,1.6384649898539632,1.6384649898539632,11.201435438793085,11.201435438793085,11.201435438793085,-157.92960723156406,-157.92960723156406,-157.92960723156406,-13.040690537385233,-13.040690537385233,-13.040690537385233,30.77221230943739,30.77221230943739,30.77221230943739,-549.2641107582872,-549.2641107582872,-549.2641107582872,-1.7917898276209598e-09,-1.7917898276209598e-09,-1.7917898276209598e-09,-254.1940453759305,-254.1940453759305,-254.1940453759305,2.612913992570508,2.612913992570508,2.612913992570508,-297.6829793731353,-297.6829793731353,-297.6829793731353,0.0,0.0,0.0,701.4925667147803
2022-12-31,1250.7012600796072,-48.151954050585395,1471.0262354533095,1250.6873942781015,1250.7012600796072,-53.9073642671211,-53.9073642671211,-53.9073642671211,-53.69492399965794,-53.69492399965794,-53.69492399965794,1.6384649898539632,1.6384649898539632,1.6384649898539632,6.7877227754833065,6.7877227754833065,6.7877227754833065,-146.38862551396758,-146.38862551396758,-146.38862551396758,-13.040690537385233,-13.040690537385233,-13.040690537385233,13.468187606777597,13.468187606777597,13.468187606777597,-535.9078428266273,-535.9078428266273,-535.9078428266273,1.9845363870748165e-09,1.9845363870748165e-09,1.9845363870748165e-09,-245.13722894601696,-245.13722894601696,-245.13722894601696,6.344581231661524,6.344581231661524,6.344581231661524,-297.1151951142564,-297.1151951142564,-297.1151951142564,0.0,0.0,0.0,714.7934172529799
